"span","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","background-image:url('https://avatars.mds.yandex.net/get-direct-picture/150544/v9foqldv5zjbuwymffv_4w/orig')","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","dist-stripe__icon dist-stripe__icon_icon","","","","","","","","","","","","","","","","","","","","","","","","","","","38","77","HTML > BODY:nth-child(2) > MAIN:nth-child(1) > DIV:nth-child(2) > A:nth-child(1) > SPAN:nth-child(1)","0"
"span","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","dist-stripe__text","","","","","","","","","","","","","","","","","","","","","","","","","","Установите Яндекс Браузер, и Яндекс будет основным поиском","16","387","HTML > BODY:nth-child(2) > MAIN:nth-child(1) > DIV:nth-child(2) > A:nth-child(1) > SPAN:nth-child(2)","0"
"span","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","dist-stripe__age","","","","","","","","","","","","","","","","","","","","","","","","",""," · 0+","16","27","HTML > BODY:nth-child(2) > MAIN:nth-child(1) > DIV:nth-child(2) > A:nth-child(1) > SPAN:nth-child(3)","1"
"span","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","dist-stripe__button dist-stripe__button_dark","","","","","","","","","","","","","","","","","","","","","","","","","","Продолжить","24","89","HTML > BODY:nth-child(2) > MAIN:nth-child(1) > DIV:nth-child(2) > A:nth-child(1) > SPAN:nth-child(4)","0"
"button","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","dist-stripe__close","","","","","","","","","","","","","","","","","","","","","","","","","","","12","12","HTML > BODY:nth-child(2) > MAIN:nth-child(1) > DIV:nth-child(2) > BUTTON:nth-child(2)","0"
"a","","","","","","","","","","","","","","","","https://ya.ru/?nr=1&redirect_ts=1677838920.00000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","home-link2 headline__logo","","","","","","","","","","","","","","","","","","_self","","","","","","","","","44","44","HTML > BODY:nth-child(2) > MAIN:nth-child(1) > DIV:nth-child(3) > A:nth-child(1)","0"
"a","","","","","","","","","","","","","","","","https://passport.yandex.ru/auth?retpath=https%3a%2f%2fsso.passport.yandex.ru%2fpush%3fretpath%3dhttps%253a%252f%252fya.ru%252f%253fnr%253d1%2526redirect_ts%253d1677838920.00000%26uuid%3dd2a9c7a7-ee0b-470f-809a-1537ebd918a4&msid=1677838921510800-4836652255535336839-vla1-5374-vla-l7-balancer-8080-bal-931&origin=home_yaru_desktop_new","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","home-link2 headline__personal-enter home-link2_color_black","","","","","","","","","","","","","","","","","","_self","","","","","","","","Войти","40","86","HTML > BODY:nth-child(2) > MAIN:nth-child(1) > DIV:nth-child(3) > DIV:nth-child(2) > A:nth-child(1)","0"
"a","","","","","","","","","","","","","","","","https://passport.yandex.ru","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","noopener","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","home-link2 headline__personal-menu usermenu-link-redesign i-bem usermenu-link-redesign_js_inited","","","","","","","","","","","","","","","","","","_blank","","","","","","","","","40","40","HTML > BODY:nth-child(2) > MAIN:nth-child(1) > DIV:nth-child(3) > DIV:nth-child(2) > A:nth-child(2)","0"
"h1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","a11y-hidden","","","","","","","","","","","","","","","","","","","","","","","","","","Уведомления","1","1","HTML > BODY:nth-child(2) > MAIN:nth-child(1) > DIV:nth-child(3) > DIV:nth-child(3) > H1:nth-child(1)","0"
"div","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","alerts__list","","","","","","","","","","","","","","","","","","","","","","","","","","Закрытие станции метро «Ладожская» с 4 марта","75","260","HTML > BODY:nth-child(2) > MAIN:nth-child(1) > DIV:nth-child(3) > DIV:nth-child(3) > DIV:nth-child(2)","1"
